ticker,industry,name,period,unit,value
VIC,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,396479910000000.0
VHM,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,285478930000000.0
VGI,Viễn thông,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,48680620000000.0
ACV,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,40695100000000.0
HPG,Tài nguyên Cơ bản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,86674280000000.0
FPT,Công nghệ Thông tin,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,45535940000000.0
GAS,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,57290500000000.0
GVR,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,27670290000000.0
VNM,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,37553650000000.0
MSN,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,53569660000000.0
MCH,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,10393760000000.0
MWG,Bán lẻ,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,65836420000000.0
HVN,Du lịch và Giải trí,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,17337700000000.0
VJC,Du lịch và Giải trí,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,38577510000000.0
BCM,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,31703970000000.0
SSI,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,70932390000000.0
MVN,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,13250280000000.0
BSR,Dầu khí,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,71515530000000.0
VRE,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,12312420000000.0
SAB,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,25066730000000.0
FOX,Viễn thông,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,15257330000000.0
VEA,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,18721870000000.0
GEX,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,22828910000000.0
PLX,Dầu khí,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,59543530000000.0
GEE,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6860780000000.0
VIX,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,19558160000000.0
BVH,Bảo hiểm,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,121226740000000.0
KDH,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,28843540000000.0
DGC,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,12700550000000.0
POW,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,29980560000000.0
REE,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,11285780000000.0
VND,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,43105620000000.0
NVL,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,207831080000000.0
SSH,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,8633530000000.001
VCI,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,26491840000000.0
KSV,Tài nguyên Cơ bản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4569690000000.0
KBC,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,36075390000000.0
HCM,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,31172160000000.0
PNJ,Hàng cá nhân & Gia dụng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,15692600000000.0
VGC,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,9464270000000.0
GMD,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6673570000000.0
FRT,Bán lẻ,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,14026160000000.0
PDR,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,21482520000000.0
MSR,Tài nguyên Cơ bản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6992040000000.0
PGV,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,16821310000000.002
MBS,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,21873570000000.0
SHS,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,13935070000000.0
DXG,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,26133340000000.0
HUT,Ô tô và phụ tùng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,12304370000000.0
DCM,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,12920860000000.0
SJS,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,5038900000000.0
KSF,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,13425280000000.0
SBT,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,21392200000000.0
DPM,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,13219570000000.0
