ticker,industry,name,period,unit,value
VCB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,61000.0
VIC,Bất động sản,Giá đóng cửa gần nhất,2025-07-29,VND,113200.0
VHM,Bất động sản,Giá đóng cửa gần nhất,2025-07-29,VND,92100.0
BID,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,37400.0
CTG,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,43800.0
TCB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,33900.0
VGI,Viễn thông,Giá đóng cửa gần nhất,2025-07-29,VND,75770.0
ACV,Hàng & Dịch vụ Công nghiệp,Giá đóng cửa gần nhất,2025-07-29,VND,60340.0
VPB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,23600.0
HPG,Tài nguyên Cơ bản,Giá đóng cửa gần nhất,2025-07-29,VND,25350.0
MBB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,20150.0
FPT,Công nghệ Thông tin,Giá đóng cửa gần nhất,2025-07-29,VND,106000.0
GAS,"Điện, nước & xăng dầu khí đốt",Giá đóng cửa gần nhất,2025-07-29,VND,68000.0
GVR,Hóa chất,Giá đóng cửa gần nhất,2025-07-29,VND,29500.0
VNM,Thực phẩm và đồ uống,Giá đóng cửa gần nhất,2025-07-29,VND,63200.0
ACB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,22750.0
MSN,Thực phẩm và đồ uống,Giá đóng cửa gần nhất,2025-07-29,VND,72200.0
MCH,Thực phẩm và đồ uống,Giá đóng cửa gần nhất,2025-07-29,VND,111430.0
LPB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,34300.0
MWG,Bán lẻ,Giá đóng cửa gần nhất,2025-07-29,VND,66600.0
STB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,48000.0
HDB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,26500.0
HVN,Du lịch và Giải trí,Giá đóng cửa gần nhất,2025-07-29,VND,32000.0
SHB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,15050.0
VJC,Du lịch và Giải trí,Giá đóng cửa gần nhất,2025-07-29,VND,118300.0
BCM,Bất động sản,Giá đóng cửa gần nhất,2025-07-29,VND,68100.0
SSI,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,VND,33300.0
MVN,Hàng & Dịch vụ Công nghiệp,Giá đóng cửa gần nhất,2025-07-29,VND,60520.0
BSR,Dầu khí,Giá đóng cửa gần nhất,2025-07-29,VND,19900.0
VIB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,18550.0
VRE,Bất động sản,Giá đóng cửa gần nhất,2025-07-29,VND,28000.0
SAB,Thực phẩm và đồ uống,Giá đóng cửa gần nhất,2025-07-29,VND,47350.0
SSB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,19900.0
FOX,Viễn thông,Giá đóng cửa gần nhất,2025-07-29,VND,73080.0
VEA,Hàng & Dịch vụ Công nghiệp,Giá đóng cửa gần nhất,2025-07-29,VND,38300.0
EIB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,27300.0
TPB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,15300.0
GEX,Hàng & Dịch vụ Công nghiệp,Giá đóng cửa gần nhất,2025-07-29,VND,53200.0
PLX,Dầu khí,Giá đóng cửa gần nhất,2025-07-29,VND,36500.0
GEE,Hàng & Dịch vụ Công nghiệp,Giá đóng cửa gần nhất,2025-07-29,VND,119900.0
VIX,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,VND,23950.0
BVH,Bảo hiểm,Giá đóng cửa gần nhất,2025-07-29,VND,49600.0
KDH,Bất động sản,Giá đóng cửa gần nhất,2025-07-29,VND,27500.0
DGC,Hóa chất,Giá đóng cửa gần nhất,2025-07-29,VND,101500.0
MSB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,13800.0
POW,"Điện, nước & xăng dầu khí đốt",Giá đóng cửa gần nhất,2025-07-29,VND,14550.0
REE,"Điện, nước & xăng dầu khí đốt",Giá đóng cửa gần nhất,2025-07-29,VND,66800.0
VND,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,VND,21050.0
NVL,Bất động sản,Giá đóng cửa gần nhất,2025-07-29,VND,16300.0
SSH,Bất động sản,Giá đóng cửa gần nhất,2025-07-29,VND,89270.0
VCI,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,VND,41850.0
OCB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,11940.0
KSV,Tài nguyên Cơ bản,Giá đóng cửa gần nhất,2025-07-29,VND,162620.0
KBC,Bất động sản,Giá đóng cửa gần nhất,2025-07-29,VND,29000.0
HCM,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,VND,25250.0
PNJ,Hàng cá nhân & Gia dụng,Giá đóng cửa gần nhất,2025-07-29,VND,84300.0
VGC,Xây dựng và Vật liệu,Giá đóng cửa gần nhất,2025-07-29,VND,57000.0
NAB,Ngân hàng,Giá đóng cửa gần nhất,2025-07-29,VND,14800.0
GMD,Hàng & Dịch vụ Công nghiệp,Giá đóng cửa gần nhất,2025-07-29,VND,56300.0
FRT,Bán lẻ,Giá đóng cửa gần nhất,2025-07-29,VND,152900.0
PDR,Bất động sản,Giá đóng cửa gần nhất,2025-07-29,VND,19120.0
MSR,Tài nguyên Cơ bản,Giá đóng cửa gần nhất,2025-07-29,VND,21970.0
PGV,"Điện, nước & xăng dầu khí đốt",Giá đóng cửa gần nhất,2025-07-29,VND,18850.0
MBS,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,VND,33800.0
