ticker,industry,name,period,unit,value
VCB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.1723
VIC,Bất động sản,ROE % (TTM),Q2-2025,%,0.0989
VHM,Bất động sản,ROE % (TTM),Q2-2025,%,0.1475
BID,Ngân hàng,ROE % (TTM),Q2-2025,%,0.176
TCB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.1427
CTG,Ngân hàng,ROE % (TTM),Q2-2025,%,0.1997
VGI,Viễn thông,ROE % (TTM),Q2-2025,%,0.1666
VPB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.1218
ACV,Hàng & Dịch vụ Công nghiệp,ROE % (TTM),Q2-2025,%,0.1617
MBB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.2136
HPG,Tài nguyên Cơ bản,ROE % (TTM),Q2-2025,%,0.1155
FPT,Công nghệ Thông tin,ROE % (TTM),Q2-2025,%,0.276
GAS,"Điện, nước & xăng dầu khí đốt",ROE % (TTM),Q2-2025,%,0.194
ACB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.2017
VNM,Thực phẩm và đồ uống,ROE % (TTM),Q2-2025,%,0.2655
GVR,Hóa chất,ROE % (TTM),Q2-2025,%,0.0979
MSN,Thực phẩm và đồ uống,ROE % (TTM),Q2-2025,%,0.0917
LPB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.2329
MCH,Thực phẩm và đồ uống,ROE % (TTM),Q2-2025,%,0.501
HDB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.2521
MWG,Bán lẻ,ROE % (TTM),Q2-2025,%,0.1704
STB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.207
SHB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.1834
VJC,Du lịch và Giải trí,ROE % (TTM),Q2-2025,%,0.0989
BCM,Bất động sản,ROE % (TTM),Q2-2025,%,0.1818
MVN,Hàng & Dịch vụ Công nghiệp,ROE % (TTM),Q2-2025,%,0.1209
BSR,Dầu khí,ROE % (TTM),Q2-2025,%,-0.0009
VIB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.1782
VRE,Bất động sản,ROE % (TTM),Q2-2025,%,0.1035
SAB,Thực phẩm và đồ uống,ROE % (TTM),Q2-2025,%,0.1745
SSB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.1887
FOX,Viễn thông,ROE % (TTM),Q2-2025,%,0.309
EIB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.1314
TPB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.1689
VEA,Hàng & Dịch vụ Công nghiệp,ROE % (TTM),Q2-2025,%,0.2662
GEX,Hàng & Dịch vụ Công nghiệp,ROE % (TTM),Q2-2025,%,0.1114
VIX,Dịch vụ tài chính,ROE % (TTM),Q2-2025,%,0.1241
PLX,Dầu khí,ROE % (TTM),Q2-2025,%,0.079
GEE,Hàng & Dịch vụ Công nghiệp,ROE % (TTM),Q2-2025,%,0.2982
BVH,Bảo hiểm,ROE % (TTM),Q2-2025,%,0.1064
MSB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.1365
KDH,Bất động sản,ROE % (TTM),Q2-2025,%,0.0455
DGC,Hóa chất,ROE % (TTM),Q2-2025,%,0.2229
POW,"Điện, nước & xăng dầu khí đốt",ROE % (TTM),Q2-2025,%,0.0453
REE,"Điện, nước & xăng dầu khí đốt",ROE % (TTM),Q2-2025,%,0.1255
NVL,Bất động sản,ROE % (TTM),Q2-2025,%,0.0045
VND,Dịch vụ tài chính,ROE % (TTM),Q2-2025,%,0.0764
SSH,Bất động sản,ROE % (TTM),Q2-2025,%,0.039
OCB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.0943
KSV,Tài nguyên Cơ bản,ROE % (TTM),Q2-2025,%,0.4209
VCI,Dịch vụ tài chính,ROE % (TTM),Q2-2025,%,0.0783
KBC,Bất động sản,ROE % (TTM),Q2-2025,%,0.0703
HCM,Dịch vụ tài chính,ROE % (TTM),Q2-2025,%,0.0847
PNJ,Hàng cá nhân & Gia dụng,ROE % (TTM),Q2-2025,%,0.1817
VGC,Xây dựng và Vật liệu,ROE % (TTM),Q2-2025,%,0.1749
NAB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.1959
GMD,Hàng & Dịch vụ Công nghiệp,ROE % (TTM),Q2-2025,%,0.1201
MBS,Dịch vụ tài chính,ROE % (TTM),Q2-2025,%,0.1208
FRT,Bán lẻ,ROE % (TTM),Q2-2025,%,0.2487
PDR,Bất động sản,ROE % (TTM),Q2-2025,%,0.015
MSR,Tài nguyên Cơ bản,ROE % (TTM),Q2-2025,%,-0.0645
PGV,"Điện, nước & xăng dầu khí đốt",ROE % (TTM),Q2-2025,%,0.0716
SHS,Dịch vụ tài chính,ROE % (TTM),Q2-2025,%,0.0844
DXG,Bất động sản,ROE % (TTM),Q2-2025,%,0.0283
HUT,Ô tô và phụ tùng,ROE % (TTM),Q2-2025,%,0.0185
KSF,Bất động sản,ROE % (TTM),Q2-2025,%,0.0479
DCM,Hóa chất,ROE % (TTM),Q2-2025,%,0.1673
SJS,Bất động sản,ROE % (TTM),Q2-2025,%,0.114
SBT,Thực phẩm và đồ uống,ROE % (TTM),Q2-2025,%,0.0818
NVB,Ngân hàng,ROE % (TTM),Q2-2025,%,-0.7812
DPM,Hóa chất,ROE % (TTM),Q2-2025,%,0.0581
NLG,Bất động sản,ROE % (TTM),Q2-2025,%,0.0687
PVS,Dầu khí,ROE % (TTM),Q2-2025,%,0.0926
VPI,Bất động sản,ROE % (TTM),Q2-2025,%,0.0764
QNS,Thực phẩm và đồ uống,ROE % (TTM),Q2-2025,%,0.2122
TCH,Bất động sản,ROE % (TTM),Q2-2025,%,0.0795
VCG,Xây dựng và Vật liệu,ROE % (TTM),Q2-2025,%,0.0989
HAG,Thực phẩm và đồ uống,ROE % (TTM),Q2-2025,%,0.1509
IDC,Bất động sản,ROE % (TTM),Q2-2025,%,0.2733
SIP,Bất động sản,ROE % (TTM),Q2-2025,%,0.2856
KDC,Thực phẩm và đồ uống,ROE % (TTM),Q2-2025,%,0.0132
BAB,Ngân hàng,ROE % (TTM),Q2-2025,%,0.0939
DIG,Bất động sản,ROE % (TTM),Q2-2025,%,0.0153
PVI,Bảo hiểm,ROE % (TTM),Q2-2025,%,0.1198
CEO,Bất động sản,ROE % (TTM),Q2-2025,%,0.0343
FTS,Dịch vụ tài chính,ROE % (TTM),Q2-2025,%,0.1094
CII,Xây dựng và Vật liệu,ROE % (TTM),Q2-2025,%,0.0063
MML,Thực phẩm và đồ uống,ROE % (TTM),Q2-2025,%,0.1029
