ticker,industry,name,period,unit,value,group
VIX,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2025,Tỷ VND,24339.77,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2025,Tỷ VND,45229.67,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2025,Tỷ VND,21777.32,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2025,Tỷ VND,34776.64,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2025,Tỷ VND,25308.7,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2025,Tỷ VND,17241.15,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2025,Tỷ VND,11103.16,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2025,Tỷ VND,14452.21,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2025,Tỷ VND,10455.45,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2025,Tỷ VND,5746.62,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2025,Tỷ VND,10978.09,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2025,Tỷ VND,5396.59,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tài sản ngắn hạn,Q1-2025,Tỷ VND,20563.92,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản ngắn hạn,Q1-2025,Tỷ VND,47015.1,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản ngắn hạn,Q1-2025,Tỷ VND,23620.98,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tài sản ngắn hạn,Q1-2025,Tỷ VND,30298.49,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản ngắn hạn,Q1-2025,Tỷ VND,22156.53,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản ngắn hạn,Q1-2025,Tỷ VND,15166.61,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản ngắn hạn,Q1-2025,Tỷ VND,10524.42,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản ngắn hạn,Q1-2025,Tỷ VND,12448.52,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tài sản ngắn hạn,Q1-2025,Tỷ VND,9592.16,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tài sản ngắn hạn,Q1-2025,Tỷ VND,6089.64,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản ngắn hạn,Q1-2025,Tỷ VND,12444.97,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản ngắn hạn,Q1-2025,Tỷ VND,5300.13,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tài sản ngắn hạn,Q4-2024,Tỷ VND,19558.16,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản ngắn hạn,Q4-2024,Tỷ VND,43105.62,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản ngắn hạn,Q4-2024,Tỷ VND,26491.84,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tài sản ngắn hạn,Q4-2024,Tỷ VND,31172.16,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản ngắn hạn,Q4-2024,Tỷ VND,21873.57,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản ngắn hạn,Q4-2024,Tỷ VND,13935.07,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản ngắn hạn,Q4-2024,Tỷ VND,9580.16,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản ngắn hạn,Q4-2024,Tỷ VND,9761.44,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tài sản ngắn hạn,Q4-2024,Tỷ VND,8598.35,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tài sản ngắn hạn,Q4-2024,Tỷ VND,6096.49,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản ngắn hạn,Q4-2024,Tỷ VND,11145.35,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản ngắn hạn,Q4-2024,Tỷ VND,5080.99,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tài sản ngắn hạn,Q3-2024,Tỷ VND,18170.5,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản ngắn hạn,Q3-2024,Tỷ VND,41992.34,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản ngắn hạn,Q3-2024,Tỷ VND,20322.22,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tài sản ngắn hạn,Q3-2024,Tỷ VND,32540.52,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản ngắn hạn,Q3-2024,Tỷ VND,19288.75,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản ngắn hạn,Q3-2024,Tỷ VND,12853.53,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản ngắn hạn,Q3-2024,Tỷ VND,8517.17,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản ngắn hạn,Q3-2024,Tỷ VND,9976.25,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tài sản ngắn hạn,Q3-2024,Tỷ VND,9181.33,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tài sản ngắn hạn,Q3-2024,Tỷ VND,5796.51,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản ngắn hạn,Q3-2024,Tỷ VND,11342.4,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản ngắn hạn,Q3-2024,Tỷ VND,4275.28,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,10559.45,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,43844.9,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,23009.92,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,27574.48,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,17302.62,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,12194.52,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,8921.84,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,9571.84,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,7835.97,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,5707.28,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,9784.56,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,5991.8,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,1053.87,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,1586.94,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,472.28,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,1309.54,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,1951.37,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,791.0,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,1277.27,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,393.39,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,482.47,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,1289.35,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,485.47,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,140.87,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,487.05,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,977.37,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,2302.26,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,1591.07,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,1598.36,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,660.0,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,810.0,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,301.27,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,191.74,CĐKT - Tài sản
