ticker,industry,name,period,unit,value
VIX,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,23.95
VND,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,21.05
VCI,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,41.85
HCM,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,25.25
SHS,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,19.8
MBS,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,32.88
FTS,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,41.05
BSI,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,45.95
CTS,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,39.55
VDS,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,17.3
ORS,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,10.95
BVS,Dịch vụ tài chính,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,37.8
VIX,Dịch vụ tài chính,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,61485.18
VND,Dịch vụ tài chính,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,56109.55
VCI,Dịch vụ tài chính,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,20482.73
HCM,Dịch vụ tài chính,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,23249.45
SHS,Dịch vụ tài chính,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,51190.1
MBS,Dịch vụ tài chính,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,11878.42
FTS,Dịch vụ tài chính,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,9261.12
BSI,Dịch vụ tài chính,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,3205.24
CTS,Dịch vụ tài chính,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,6232.96
VDS,Dịch vụ tài chính,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,7407.94
ORS,Dịch vụ tài chính,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,12478.55
BVS,Dịch vụ tài chính,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,1879.96
VIX,Dịch vụ tài chính,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,64769.66
VND,Dịch vụ tài chính,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,38219.62
VCI,Dịch vụ tài chính,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,16264.31
HCM,Dịch vụ tài chính,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,19839.7
SHS,Dịch vụ tài chính,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,39062.2
MBS,Dịch vụ tài chính,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,8718.77
FTS,Dịch vụ tài chính,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,7608.91
BSI,Dịch vụ tài chính,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,2483.49
CTS,Dịch vụ tài chính,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,3834.87
VDS,Dịch vụ tài chính,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,4533.04
ORS,Dịch vụ tài chính,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,10345.15
BVS,Dịch vụ tài chính,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,1323.32
VIX,Dịch vụ tài chính,Giá trị trung bình 1 tuần,2025-07-29,Triệu VND,1466632.82
VND,Dịch vụ tài chính,Giá trị trung bình 1 tuần,2025-07-29,Triệu VND,1190789.07
VCI,Dịch vụ tài chính,Giá trị trung bình 1 tuần,2025-07-29,Triệu VND,880521.97
HCM,Dịch vụ tài chính,Giá trị trung bình 1 tuần,2025-07-29,Triệu VND,606272.83
SHS,Dịch vụ tài chính,Giá trị trung bình 1 tuần,2025-07-29,Triệu VND,994222.37
MBS,Dịch vụ tài chính,Giá trị trung bình 1 tuần,2025-07-29,Triệu VND,389275.13
FTS,Dịch vụ tài chính,Giá trị trung bình 1 tuần,2025-07-29,Triệu VND,390211.23
BSI,Dịch vụ tài chính,Giá trị trung bình 1 tuần,2025-07-29,Triệu VND,151630.44
