ticker,industry,name,period,unit,value,group
VIX,Dịch vụ tài chính,ROE,Q2-2025,%,0.1241,Hiệu quả
VND,Dịch vụ tài chính,ROE,Q2-2025,%,0.0764,Hiệu quả
VCI,Dịch vụ tài chính,ROE,Q2-2025,%,0.0783,Hiệu quả
HCM,Dịch vụ tài chính,ROE,Q2-2025,%,0.0847,Hiệu quả
MBS,Dịch vụ tài chính,ROE,Q2-2025,%,0.1208,Hiệu quả
SHS,Dịch vụ tài chính,ROE,Q2-2025,%,0.0912,Hiệu quả
FTS,Dịch vụ tài chính,ROE,Q2-2025,%,0.1094,Hiệu quả
BSI,Dịch vụ tài chính,ROE,Q2-2025,%,0.0675,Hiệu quả
CTS,Dịch vụ tài chính,ROE,Q2-2025,%,0.1682,Hiệu quả
VDS,Dịch vụ tài chính,ROE,Q2-2025,%,0.0207,Hiệu quả
ORS,Dịch vụ tài chính,ROE,Q2-2025,%,0.0234,Hiệu quả
BVS,Dịch vụ tài chính,ROE,Q2-2025,%,0.0839,Hiệu quả
VIX,Dịch vụ tài chính,ROE,Q1-2025,%,0.0608,Hiệu quả
VND,Dịch vụ tài chính,ROE,Q1-2025,%,0.0775,Hiệu quả
VCI,Dịch vụ tài chính,ROE,Q1-2025,%,0.0937,Hiệu quả
HCM,Dịch vụ tài chính,ROE,Q1-2025,%,0.0954,Hiệu quả
MBS,Dịch vụ tài chính,ROE,Q1-2025,%,0.1293,Hiệu quả
SHS,Dịch vụ tài chính,ROE,Q1-2025,%,0.0822,Hiệu quả
FTS,Dịch vụ tài chính,ROE,Q1-2025,%,0.1365,Hiệu quả
BSI,Dịch vụ tài chính,ROE,Q1-2025,%,0.0711,Hiệu quả
CTS,Dịch vụ tài chính,ROE,Q1-2025,%,0.1059,Hiệu quả
VDS,Dịch vụ tài chính,ROE,Q1-2025,%,0.0687,Hiệu quả
ORS,Dịch vụ tài chính,ROE,Q1-2025,%,0.0771,Hiệu quả
BVS,Dịch vụ tài chính,ROE,Q1-2025,%,0.0755,Hiệu quả
VIX,Dịch vụ tài chính,ROE,Q4-2024,%,0.0533,Hiệu quả
VND,Dịch vụ tài chính,ROE,Q4-2024,%,0.0949,Hiệu quả
VCI,Dịch vụ tài chính,ROE,Q4-2024,%,0.0897,Hiệu quả
HCM,Dịch vụ tài chính,ROE,Q4-2024,%,0.1109,Hiệu quả
MBS,Dịch vụ tài chính,ROE,Q4-2024,%,0.1245,Hiệu quả
SHS,Dịch vụ tài chính,ROE,Q4-2024,%,0.0946,Hiệu quả
FTS,Dịch vụ tài chính,ROE,Q4-2024,%,0.1462,Hiệu quả
BSI,Dịch vụ tài chính,ROE,Q4-2024,%,0.0848,Hiệu quả
CTS,Dịch vụ tài chính,ROE,Q4-2024,%,0.1077,Hiệu quả
VDS,Dịch vụ tài chính,ROE,Q4-2024,%,0.1128,Hiệu quả
ORS,Dịch vụ tài chính,ROE,Q4-2024,%,0.1174,Hiệu quả
BVS,Dịch vụ tài chính,ROE,Q4-2024,%,0.0835,Hiệu quả
VIX,Dịch vụ tài chính,ROE,Q3-2024,%,0.0693,Hiệu quả
VND,Dịch vụ tài chính,ROE,Q3-2024,%,0.13,Hiệu quả
VCI,Dịch vụ tài chính,ROE,Q3-2024,%,0.0987,Hiệu quả
HCM,Dịch vụ tài chính,ROE,Q3-2024,%,0.1055,Hiệu quả
MBS,Dịch vụ tài chính,ROE,Q3-2024,%,0.1375,Hiệu quả
SHS,Dịch vụ tài chính,ROE,Q3-2024,%,0.0893,Hiệu quả
FTS,Dịch vụ tài chính,ROE,Q3-2024,%,0.118,Hiệu quả
BSI,Dịch vụ tài chính,ROE,Q3-2024,%,0.0797,Hiệu quả
