ticker,industry,name,period,unit,value,group
HAG,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q2-2025,Tỷ VND,10899.83,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q2-2025,Tỷ VND,8380.69,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q2-2025,Tỷ VND,3499.67,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q2-2025,Tỷ VND,4111.07,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q1-2025,Tỷ VND,9249.08,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q1-2025,Tỷ VND,8227.49,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q1-2025,Tỷ VND,4032.6,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q1-2025,Tỷ VND,4028.99,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q4-2024,Tỷ VND,8435.36,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q4-2024,Tỷ VND,7838.14,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q4-2024,Tỷ VND,3081.02,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q4-2024,Tỷ VND,4077.38,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q3-2024,Tỷ VND,8867.54,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q3-2024,Tỷ VND,8035.76,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q3-2024,Tỷ VND,3080.29,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q3-2024,Tỷ VND,4500.74,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q2-2024,Tỷ VND,8707.88,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q2-2024,Tỷ VND,7385.11,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q2-2024,Tỷ VND,3497.12,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tài sản ngắn hạn,Q2-2024,Tỷ VND,4450.57,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q2-2025,Tỷ VND,193.66,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q2-2025,Tỷ VND,363.52,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q2-2025,Tỷ VND,383.86,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q2-2025,Tỷ VND,592.85,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q1-2025,Tỷ VND,315.59,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q1-2025,Tỷ VND,570.45,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q1-2025,Tỷ VND,824.97,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q1-2025,Tỷ VND,411.75,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q4-2024,Tỷ VND,149.71,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q4-2024,Tỷ VND,439.33,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q4-2024,Tỷ VND,148.91,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q4-2024,Tỷ VND,420.71,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q3-2024,Tỷ VND,113.97,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q3-2024,Tỷ VND,541.03,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q3-2024,Tỷ VND,90.3,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q3-2024,Tỷ VND,513.03,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q2-2024,Tỷ VND,136.03,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q2-2024,Tỷ VND,524.32,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q2-2024,Tỷ VND,809.7,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Tiền & tương đương tiền,Q2-2024,Tỷ VND,253.83,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Hàng tồn kho,Q2-2025,Tỷ VND,737.8,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Hàng tồn kho,Q2-2025,Tỷ VND,5683.79,CĐKT - Tài sản
