ticker,industry,name,period,unit,value
HAG,Thực phẩm và đồ uống,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,13.3
DBC,Thực phẩm và đồ uống,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,29.09
BAF,Thực phẩm và đồ uống,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,34.8
VLC,Thực phẩm và đồ uống,Giá đóng cửa gần nhất,2025-07-29,Nghìn VND,16.29
HAG,Thực phẩm và đồ uống,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,20429.24
DBC,Thực phẩm và đồ uống,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,17393.75
BAF,Thực phẩm và đồ uống,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,6111.08
VLC,Thực phẩm và đồ uống,Khối lượng trung bình 1 tuần,2025-07-29,Nghìn cổ phiếu,424.79
HAG,Thực phẩm và đồ uống,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,16413.47
DBC,Thực phẩm và đồ uống,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,12516.52
BAF,Thực phẩm và đồ uống,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,3953.43
VLC,Thực phẩm và đồ uống,Khối lượng trung bình 1 tháng,2025-07-29,Nghìn cổ phiếu,265.01
HAG,Thực phẩm và đồ uống,Giá trị trung bình 1 tuần,2025-07-29,Triệu VND,289971.31
DBC,Thực phẩm và đồ uống,Giá trị trung bình 1 tuần,2025-07-29,Triệu VND,611403.85
BAF,Thực phẩm và đồ uống,Giá trị trung bình 1 tuần,2025-07-29,Triệu VND,211541.41
VLC,Thực phẩm và đồ uống,Giá trị trung bình 1 tuần,2025-07-29,Triệu VND,6945.41
HAG,Thực phẩm và đồ uống,Giá trị trung bình 1 tháng,2025-07-29,Triệu VND,228052.36
DBC,Thực phẩm và đồ uống,Giá trị trung bình 1 tháng,2025-07-29,Triệu VND,429775.11
BAF,Thực phẩm và đồ uống,Giá trị trung bình 1 tháng,2025-07-29,Triệu VND,135519.04
VLC,Thực phẩm và đồ uống,Giá trị trung bình 1 tháng,2025-07-29,Triệu VND,4204.47
