ticker,industry,name,period,unit,value,group
HAG,Thực phẩm và đồ uống,ROE,Q2-2025,%,0.1509,Hiệu quả
DBC,Thực phẩm và đồ uống,ROE,Q2-2025,%,0.2229,Hiệu quả
BAF,Thực phẩm và đồ uống,ROE,Q2-2025,%,0.15,Hiệu quả
VLC,Thực phẩm và đồ uống,ROE,Q2-2025,%,0.0156,Hiệu quả
HAG,Thực phẩm và đồ uống,ROE,Q1-2025,%,0.1335,Hiệu quả
DBC,Thực phẩm và đồ uống,ROE,Q1-2025,%,0.1897,Hiệu quả
BAF,Thực phẩm và đồ uống,ROE,Q1-2025,%,0.1215,Hiệu quả
VLC,Thực phẩm và đồ uống,ROE,Q1-2025,%,0.0142,Hiệu quả
HAG,Thực phẩm và đồ uống,ROE,Q4-2024,%,0.1342,Hiệu quả
DBC,Thực phẩm và đồ uống,ROE,Q4-2024,%,0.1346,Hiệu quả
BAF,Thực phẩm và đồ uống,ROE,Q4-2024,%,0.1315,Hiệu quả
VLC,Thực phẩm và đồ uống,ROE,Q4-2024,%,0.0148,Hiệu quả
HAG,Thực phẩm và đồ uống,ROE,Q3-2024,%,0.2489,Hiệu quả
DBC,Thực phẩm và đồ uống,ROE,Q3-2024,%,0.1031,Hiệu quả
BAF,Thực phẩm và đồ uống,ROE,Q3-2024,%,0.0836,Hiệu quả
VLC,Thực phẩm và đồ uống,ROE,Q3-2024,%,0.0171,Hiệu quả
HAG,Thực phẩm và đồ uống,ROE,Q2-2024,%,0.2762,Hiệu quả
DBC,Thực phẩm và đồ uống,ROE,Q2-2024,%,0.05,Hiệu quả
BAF,Thực phẩm và đồ uống,ROE,Q2-2024,%,0.0823,Hiệu quả
VLC,Thực phẩm và đồ uống,ROE,Q2-2024,%,0.0234,Hiệu quả
HAG,Thực phẩm và đồ uống,ROA,Q2-2025,%,0.0577,Hiệu quả
DBC,Thực phẩm và đồ uống,ROA,Q2-2025,%,0.1096,Hiệu quả
BAF,Thực phẩm và đồ uống,ROA,Q2-2025,%,0.0622,Hiệu quả
VLC,Thực phẩm và đồ uống,ROA,Q2-2025,%,0.0082,Hiệu quả
HAG,Thực phẩm và đồ uống,ROA,Q1-2025,%,0.051,Hiệu quả
DBC,Thực phẩm và đồ uống,ROA,Q1-2025,%,0.0862,Hiệu quả
BAF,Thực phẩm và đồ uống,ROA,Q1-2025,%,0.0436,Hiệu quả
VLC,Thực phẩm và đồ uống,ROA,Q1-2025,%,0.0076,Hiệu quả
HAG,Thực phẩm và đồ uống,ROA,Q4-2024,%,0.0469,Hiệu quả
DBC,Thực phẩm và đồ uống,ROA,Q4-2024,%,0.0567,Hiệu quả
BAF,Thực phẩm và đồ uống,ROA,Q4-2024,%,0.0453,Hiệu quả
VLC,Thực phẩm và đồ uống,ROA,Q4-2024,%,0.0085,Hiệu quả
