,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,type
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,BalanceSheet
    A. Tài sản lưu động và đầu tư ngắn hạn,22473334.313473,25608346.381474,27905525.240833,29634333.850918,30655506.375345,35116784.160545,36617350.54458,37159706.261301,35269474.823622,30933924.692832,29524492.711606,38758427.341944,39531943.273981,36709543.350385,37679149.034489,40835231.143696,42605105.704316,45475495.956466,46075510.989597,52711179.992741,BalanceSheet
        I. Tiền và các khoản tương đương tiền,4306782.189437,4684867.868361,5162685.900519,4978881.337221,5446784.083688,5417845.274047,4825840.656865,5219950.154604,3737291.803926,6440177.174268,3289424.451229,6236475.101406,7153625.069795,8279156.683221,6341457.504996,6836262.549195,7935632.407357,9315440.438884,6755645.214252,10019630.995136,BalanceSheet
            1. Tiền,2358776.25045,2215419.28508,2631972.515733,2671613.35843,2936232.673264,3447377.471942,2854818.888207,3951871.648589,3482963.103926,3880860.111126,3068013.165452,4116495.111876,4868732.047232,5975127.685903,5411920.365956,5619992.03948,5251361.305952,6725619.929289,5342746.710936,7755450.852909,BalanceSheet
            2. Các khoản tương đương tiền,1948005.938987,2469448.583281,2530713.384786,2307267.978791,2510551.410424,1970467.802105,1971021.768658,1268078.506015,254328.7,2559317.063142,221411.285777,2119979.98953,2284893.022563,2304028.997318,929537.13904,1216270.509715,2684271.101405,2589820.509595,1412898.503316,2264180.142227,BalanceSheet
        II. Các khoản đầu tư tài chính ngắn hạn,9990823.495588,12435918.124269,14057681.981618,15532505.379957,16055301.795066,20730720.735456,21606129.233008,21520473.393082,20389025.847693,13036072.272619,13860719.245281,20451941.376989,19618195.84589,16104205.35801,18230159.723426,19916062.543669,19442595.123064,21785213.686808,23768377.985785,26619399.709978,BalanceSheet
            1. Chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            3. Đầu tư nắm giữ đến ngày đáo hạn,9990823.495588,12435918.124269,14057681.981618,15532505.379957,16055301.795066,20730720.735456,21606129.233008,21520473.393082,20389025.847693,13036072.272619,13860719.245281,20451941.376989,19618195.84589,16104205.35801,18230159.723426,19916062.543669,19442595.123064,21785213.686808,23768377.985785,26619399.709978,BalanceSheet
        III. Các khoản phải thu ngắn hạn,5930772.737994,6263024.54362,6051076.946319,6675995.128182,6654818.353847,6882319.562187,7635393.660172,7494546.042666,8184661.159428,8510152.205706,9293933.666296,9006495.599449,9819319.720327,9533935.053243,10054871.366217,10992515.047452,11875150.699489,11379992.305795,11997831.491115,12525313.63553,BalanceSheet
            1. Phải thu ngắn hạn của khách hàng,5144996.812664,5587937.422952,5277490.091007,5531866.163327,5827087.167607,6211956.510246,6583921.977026,6459915.737898,7096426.530579,7977155.596006,7918165.205099,8039599.84384,8927001.832356,9044709.144898,9393764.058957,10309248.199833,10799828.515307,10537019.11338,10855474.371546,11175300.447724,BalanceSheet
            2. Trả trước cho người bán,464970.526451,459336.196478,467365.468959,579927.721506,338658.818579,400846.789036,340903.44719,318135.753388,378829.424777,293039.400616,646447.723206,500907.002679,419601.591333,348405.863076,628462.570207,599121.868182,566097.011978,610379.845664,654479.702711,806039.13769,BalanceSheet
            3. Phải thu nội bộ ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            4. Phải thu theo tiến độ hợp đồng xây dựng,268083.993726,197972.680487,194746.840384,204224.676753,119879.763439,168939.964952,175086.330906,182114.045415,186100.648991,199252.243559,231842.985934,227380.7851,229678.78231,182965.994736,190429.912043,196821.565607,194158.152911,136097.256629,153811.104201,164046.117155,BalanceSheet
            5. Phải thu về cho vay ngắn hạn,21.16879,185532.228683,0.0,235416.52,260408.9,34762.22,300496.746655,230514.32,100614.829,882.560901,50766.311424,50562.368657,50546.96612,515.43,657.52,18634.4,33543.915,9808.11759,9757.907901,10069.852326,BalanceSheet
            6. Phải thu ngắn hạn khác,529154.815368,459208.893239,603967.552923,632605.399042,629749.883333,595810.040192,793796.86218,875154.679446,1033125.403561,741724.414225,1194702.771309,950333.045093,1003092.487869,869495.265613,819717.532596,853765.844605,900121.856114,706219.898391,894960.947874,988041.181778,BalanceSheet
            7. Dự phòng phải thu ngắn hạn khó đòi,-476454.579005,-626962.878219,-492493.006954,-508045.352446,-520966.179111,-529995.962239,-558811.703785,-571288.493481,-610435.67748,-701902.009601,-747991.330676,-762287.44592,-810601.939661,-912156.64508,-978160.227586,-985076.830775,-618598.751821,-619531.925859,-570652.543118,-618183.101143,BalanceSheet
